PMCID	Abbreviations	Abstract	Acknowledgments	Article	Author Contributions	Case study	Competing Interests	Conclusion	Discussion	Figure	Introduction	Methods	References	Results	Supplementary material	Table	Title	
PMC5968721	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC5729984	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC3662650	0	0	0	0	0	0	0	0	0	0	0	1	0	9	4	0	0	
PMC3243911	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PMC4507359	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5330492	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	
PMC6007223	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	
PMC6360709	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4317728	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6325860	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	
PMC1166350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	
PMC3322593	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	
PMC6448596	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC4661834	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PMC5210567	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	
PMC5180248	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
PMC3537475	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC6064724	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
PMC4110214	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6413958	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC5754474	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC3739942	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC6471920	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6580753	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4866862	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC3827039	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC6345324	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5117943	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	
PMC2659425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	
PMC5356049	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4663581	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	
PMC5784005	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	
PMC5085106	0	10	0	0	0	0	0	0	5	0	7	0	0	16	0	0	0	
PMC5771578	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC4922538	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC3367396	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
PMC6366980	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
PMC3791366	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
PMC4240025	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
PMC4868853	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
PMC5402964	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
